gbifID,accessRights,bibliographicCitation,language,license,modified,publisher,references,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,caste,behavior,vitality,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedMedia,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,verticalDatum,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks
1936703076,http://www.inbo.be/en/norms-for-data-use,NA,en,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,INBO,event,NA,NA,http://dataset.inbo.be/invasive-bullfrog-occurrences,INBO,NBN,"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium",INBO,HumanObservation,NA,NA,"{""projectName"":INBO - American bullfrog",INBO:NBN:BFN001790000BJMP,NA,NA,BFN00179000000TW;BFN00179000005B8,NA,0,NA,NA,NA,lenght:25-30 cm:0 ; lenght:20-25 cm:0 ; lenght:5-10 cm:0 ; lenght:10-15 cm:0 ; lenght:15-20 cm:0 ; lenght < 5 cm:0 ; smallest larvae < 5cm no legs:0 ; metamorph without tail:0 ; metamorph with tail:0 ; larvae with hind legs > 1cm:0 ; larvae with hind legs < 1cm:0 ; larvae no legs:0 ; unknown:0 ; adult:0 ; adult male:0 ; adult female:0 ; larvae:0,NA,NA,NA,NA,invasive alien A1,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN0017900003919,NA,NA,NA,2017-07-20,NA,NA,NA,NA,NA,NA,2017-07-20,NA,paired fyke nets,NA,NA,NA,NA,NA,BFN00179000007KG,NA,NA,Europe,NA,NA,NA,NA,BE,NA,NA,NA,Fuik 1,Retiebaan 1 Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.24699,5.00948,WGS84,30,NA,NA,"194738.23,215423.92",NA,NA,Belgium Lambert 72,Belgium Datum 1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN00179000005B8,NA,NA,NA,NA,NA,http://ias.biodiversity.be/species/show/88,NA,NA,NA,NA,NA,NA,NA,Lithobates catesbeianus,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,Amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species,NA,"(Shaw, 1802)",NA,ICZN,NA,NA,NA
1936703071,http://www.inbo.be/en/norms-for-data-use,NA,en,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,INBO,event,NA,NA,http://dataset.inbo.be/invasive-bullfrog-occurrences,INBO,NBN,"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium",INBO,HumanObservation,NA,NA,"{""projectName"":INBO - American bullfrog",INBO:NBN:BFN001790000BJLM,NA,NA,BFN00179000000TW;BFN00179000005BT;BFN00179000000TX,NA,0,NA,NA,NA,larvae:0 ; adult female:0 ; adult male:0 ; adult:0 ; unknown:0 ; larvae no legs:0 ; larvae with hind legs < 1cm:0 ; larvae with hind legs > 1cm:0 ; metamorph with tail:0 ; metamorph without tail:0 ; smallest larvae < 5cm no legs:0 ; lenght < 5 cm:0 ; lenght:15-20 cm:0 ; lenght:10-15 cm:0 ; lenght:5-10 cm:0 ; lenght:20-25 cm:0 ; lenght:25-30 cm:0,NA,NA,NA,NA,invasive alien A1,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN001790000390W,NA,NA,NA,2018-06-22,NA,NA,NA,NA,NA,NA,2018-06-22,NA,paired fyke nets,NA,NA,NA,NA,NA,BFN00179000007K8,NA,NA,Europe,NA,NA,NA,NA,BE,NA,NA,NA,Fuik 3,Nijlen D3 Fuik 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1337,4.5984,WGS84,30,NA,NA,"166074.00,202652.00",NA,NA,Belgium Lambert 72,Belgium Datum 1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN00179000005BT,NA,NA,NA,NA,NA,http://ias.biodiversity.be/species/show/88,NA,NA,NA,NA,NA,NA,NA,Lithobates catesbeianus,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,Amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species,NA,"(Shaw, 1802)",NA,ICZN,NA,NA,NA
1936703065,http://www.inbo.be/en/norms-for-data-use,NA,en,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,INBO,event,NA,NA,http://dataset.inbo.be/invasive-bullfrog-occurrences,INBO,NBN,"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium",INBO,HumanObservation,NA,NA,"{""projectName"":INBO - American bullfrog",INBO:NBN:BFN001790000BJMU,NA,NA,BFN00179000000TW;BFN00179000005B8,NA,0,NA,NA,NA,larvae:0 ; adult female:0 ; adult male:0 ; adult:0 ; unknown:0 ; larvae no legs:0 ; larvae with hind legs < 1cm:0 ; larvae with hind legs > 1cm:0 ; metamorph with tail:0 ; metamorph without tail:0 ; smallest larvae < 5cm no legs:0 ; lenght < 5 cm:0 ; lenght:15-20 cm:0 ; lenght:10-15 cm:0 ; lenght:5-10 cm:0 ; lenght:20-25 cm:0 ; lenght:25-30 cm:0,NA,NA,NA,NA,invasive alien A1,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN001790000391B,NA,NA,NA,2017-07-20,NA,NA,NA,NA,NA,NA,2017-07-20,NA,paired fyke nets,NA,NA,NA,NA,NA,BFN00179000007KG,NA,NA,Europe,NA,NA,NA,NA,BE,NA,NA,NA,Fuik 3,Retiebaan 1 Fuik 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.24699,5.00948,WGS84,30,NA,NA,"194738.23,215423.92",NA,NA,Belgium Lambert 72,Belgium Datum 1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN00179000005B8,NA,NA,NA,NA,NA,http://ias.biodiversity.be/species/show/88,NA,NA,NA,NA,NA,NA,NA,Lithobates catesbeianus,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,Amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species,NA,"(Shaw, 1802)",NA,ICZN,NA,NA,NA
1936703064,http://www.inbo.be/en/norms-for-data-use,NA,en,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,INBO,event,NA,NA,http://dataset.inbo.be/invasive-bullfrog-occurrences,INBO,NBN,"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium",INBO,HumanObservation,NA,NA,"{""projectName"":INBO - American bullfrog",INBO:NBN:BFN001790000BJNM,NA,NA,BFN00179000005B8;BFN00179000000TW,NA,0,NA,NA,NA,larvae:0 ; adult female:0 ; adult male:0 ; adult:0 ; unknown:0 ; larvae no legs:0 ; larvae with hind legs < 1cm:0 ; larvae with hind legs > 1cm:0 ; metamorph with tail:0 ; metamorph without tail:0 ; smallest larvae < 5cm no legs:0 ; lenght < 5 cm:0 ; lenght:15-20 cm:0 ; lenght:10-15 cm:0 ; lenght:5-10 cm:0 ; lenght:25-30 cm:0 ; lenght:20-25 cm:0,NA,NA,NA,NA,invasive alien A1,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN001790000391L,NA,NA,NA,2017-08-02,NA,NA,NA,NA,NA,NA,2017-08-02,NA,paired fyke nets,NA,NA,NA,NA,NA,BFN00179000007KI,NA,NA,Europe,NA,NA,NA,NA,BE,NA,NA,NA,Fuik 1,Watermolen Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.22829,4.97883,WGS84,30,NA,NA,"192615.66,213326.31",NA,NA,Belgium Lambert 72,Belgium Datum 1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN00179000005B8,NA,NA,NA,NA,NA,http://ias.biodiversity.be/species/show/88,NA,NA,NA,NA,NA,NA,NA,Lithobates catesbeianus,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,Amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species,NA,"(Shaw, 1802)",NA,ICZN,NA,NA,NA
1936703063,http://www.inbo.be/en/norms-for-data-use,NA,en,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,INBO,event,NA,NA,http://dataset.inbo.be/invasive-bullfrog-occurrences,INBO,NBN,"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium",INBO,HumanObservation,NA,NA,"{""projectName"":INBO - American bullfrog",INBO:NBN:BFN001790000BJMW,NA,NA,BFN00179000000TW;BFN00179000005BP,NA,0,NA,NA,NA,larvae:0 ; adult female:0 ; adult male:0 ; adult:0 ; unknown:0 ; larvae no legs:0 ; larvae with hind legs < 1cm:0 ; larvae with hind legs > 1cm:0 ; metamorph with tail:0 ; metamorph without tail:0 ; smallest larvae < 5cm no legs:0 ; lenght < 5 cm:0 ; lenght:15-20 cm:0 ; lenght:5-10 cm:0 ; lenght:10-15 cm:0 ; lenght:20-25 cm:0 ; lenght:25-30 cm:0,NA,NA,NA,NA,invasive alien A1,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN001790000391C,NA,NA,NA,2018-07-18,NA,NA,NA,NA,NA,NA,2018-07-18,NA,paired fyke nets,NA,NA,NA,NA,NA,BFN00179000007KG,NA,NA,Europe,NA,NA,NA,NA,BE,NA,NA,NA,Fuik 1,Retiebaan 1 Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.24699,5.00948,WGS84,30,NA,NA,"194738.23,215423.92",NA,NA,Belgium Lambert 72,Belgium Datum 1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN00179000005BP,NA,NA,NA,NA,NA,http://ias.biodiversity.be/species/show/88,NA,NA,NA,NA,NA,NA,NA,Lithobates catesbeianus,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,Amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species,NA,"(Shaw, 1802)",NA,ICZN,NA,NA,NA
1936703060,http://www.inbo.be/en/norms-for-data-use,NA,en,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,INBO,event,NA,NA,http://dataset.inbo.be/invasive-bullfrog-occurrences,INBO,NBN,"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium",INBO,HumanObservation,NA,NA,"{""projectName"":INBO - American bullfrog",INBO:NBN:BFN001790000BJM8,NA,NA,BFN00179000005B8;BFN00179000000TW,NA,0,NA,NA,NA,larvae:0 ; adult female:0 ; adult male:0 ; adult:0 ; unknown:0 ; larvae no legs:0 ; larvae with hind legs < 1cm:0 ; larvae with hind legs > 1cm:0 ; metamorph with tail:0 ; metamorph without tail:0 ; smallest larvae < 5cm no legs:0 ; lenght < 5 cm:0 ; lenght:15-20 cm:0 ; lenght:10-15 cm:0 ; lenght:5-10 cm:0 ; lenght:20-25 cm:0 ; lenght:25-30 cm:0,NA,NA,NA,NA,invasive alien A1,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN0017900003913,NA,NA,NA,2017-09-28,NA,NA,NA,NA,NA,NA,2017-09-28,NA,paired fyke nets,NA,NA,NA,NA,NA,BFN00179000007KB,NA,NA,Europe,NA,NA,NA,NA,BE,NA,NA,NA,Fuik 1,Scheps 14 Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.14776,5.16562,WGS84,30,NA,NA,"205759.00,204491.00",NA,NA,Belgium Lambert 72,Belgium Datum 1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN00179000005B8,NA,NA,NA,NA,NA,http://ias.biodiversity.be/species/show/88,NA,NA,NA,NA,NA,NA,NA,Lithobates catesbeianus,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,Amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species,NA,"(Shaw, 1802)",NA,ICZN,NA,NA,NA
1936703059,http://www.inbo.be/en/norms-for-data-use,NA,en,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,INBO,event,NA,NA,http://dataset.inbo.be/invasive-bullfrog-occurrences,INBO,NBN,"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium",INBO,HumanObservation,NA,NA,"{""projectName"":INBO - American bullfrog",INBO:NBN:BFN001790000BJMB,NA,NA,BFN00179000000TW;BFN00179000005B8,NA,0,NA,NA,NA,lenght:25-30 cm:0 ; lenght:20-25 cm:0 ; lenght:5-10 cm:0 ; lenght:10-15 cm:0 ; lenght:15-20 cm:0 ; lenght < 5 cm:0 ; smallest larvae < 5cm no legs:0 ; metamorph without tail:0 ; metamorph with tail:0 ; larvae with hind legs > 1cm:0 ; larvae with hind legs < 1cm:0 ; larvae no legs:0 ; unknown:0 ; adult:0 ; adult male:0 ; adult female:0 ; larvae:0,NA,NA,NA,NA,invasive alien A1,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN0017900003914,NA,NA,NA,2017-09-28,NA,NA,NA,NA,NA,NA,2017-09-28,NA,paired fyke nets,NA,NA,NA,NA,NA,BFN00179000007KB,NA,NA,Europe,NA,NA,NA,NA,BE,NA,NA,NA,Fuik 2,Scheps 14 Fuik 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.14776,5.16562,WGS84,30,NA,NA,"205759.00,204491.00",NA,NA,Belgium Lambert 72,Belgium Datum 1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN00179000005B8,NA,NA,NA,NA,NA,http://ias.biodiversity.be/species/show/88,NA,NA,NA,NA,NA,NA,NA,Lithobates catesbeianus,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,Amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species,NA,"(Shaw, 1802)",NA,ICZN,NA,NA,NA
1936703057,http://www.inbo.be/en/norms-for-data-use,NA,en,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,INBO,event,NA,NA,http://dataset.inbo.be/invasive-bullfrog-occurrences,INBO,NBN,"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium",INBO,HumanObservation,NA,NA,"{""projectName"":INBO - American bullfrog",INBO:NBN:BFN001790000BJKV,NA,NA,BFN00179000005BT;BFN00179000000TW,NA,0,NA,NA,NA,lenght:25-30 cm:0 ; lenght:20-25 cm:0 ; lenght:5-10 cm:0 ; lenght:10-15 cm:0 ; lenght:15-20 cm:0 ; lenght < 5 cm:0 ; smallest larvae < 5cm no legs:0 ; metamorph without tail:0 ; metamorph with tail:0 ; larvae with hind legs > 1cm:0 ; larvae with hind legs < 1cm:0 ; larvae no legs:0 ; unknown:0 ; adult:0 ; adult male:0 ; adult female:0 ; larvae:0,NA,NA,NA,NA,invasive alien A1,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN001790000390P,NA,NA,NA,2018-08-30,NA,NA,NA,NA,NA,NA,2018-08-30,NA,paired fyke nets,NA,NA,NA,NA,NA,BFN00179000007K7,NA,NA,Europe,NA,NA,NA,NA,BE,NA,NA,NA,Fuik 1,Nijlen C9 Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.13323,4.61084,WGS84,30,NA,NA,"166945.00,202602.00",NA,NA,Belgium Lambert 72,Belgium Datum 1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN00179000005BT,NA,NA,NA,NA,NA,http://ias.biodiversity.be/species/show/88,NA,NA,NA,NA,NA,NA,NA,Lithobates catesbeianus,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,Amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species,NA,"(Shaw, 1802)",NA,ICZN,NA,NA,NA
1936703049,http://www.inbo.be/en/norms-for-data-use,NA,en,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,INBO,event,NA,NA,http://dataset.inbo.be/invasive-bullfrog-occurrences,INBO,NBN,"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium",INBO,HumanObservation,NA,NA,"{""projectName"":INBO - American bullfrog",INBO:NBN:BFN001790000BJNH,NA,NA,BFN00179000005BP;BFN00179000000TW,NA,0,NA,NA,NA,lenght:25-30 cm:0 ; lenght:20-25 cm:0 ; lenght:5-10 cm:0 ; lenght:10-15 cm:0 ; lenght:15-20 cm:0 ; lenght < 5 cm:0 ; smallest larvae < 5cm no legs:0 ; metamorph without tail:0 ; metamorph with tail:0 ; larvae with hind legs > 1cm:0 ; larvae with hind legs < 1cm:0 ; larvae no legs:0 ; unknown:0 ; adult:0 ; adult male:0 ; adult female:0 ; larvae:0,NA,NA,NA,NA,invasive alien A1,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN001790000391J,NA,NA,NA,2018-08-14,NA,NA,NA,NA,NA,NA,2018-08-14,NA,paired fyke nets,NA,NA,NA,NA,NA,BFN00179000007KH,NA,NA,Europe,NA,NA,NA,NA,BE,NA,NA,NA,Fuik 1,Retiebaan 2 Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.24773,5.0086,WGS84,30,NA,NA,"194676.72,215505.96",NA,NA,Belgium Lambert 72,Belgium Datum 1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN00179000005BP,NA,NA,NA,NA,NA,http://ias.biodiversity.be/species/show/88,NA,NA,NA,NA,NA,NA,NA,Lithobates catesbeianus,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,Amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species,NA,"(Shaw, 1802)",NA,ICZN,NA,NA,NA
1936703046,http://www.inbo.be/en/norms-for-data-use,NA,en,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,INBO,event,NA,NA,http://dataset.inbo.be/invasive-bullfrog-occurrences,INBO,NBN,"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium",INBO,HumanObservation,NA,NA,"{""projectName"":INBO - American bullfrog",INBO:NBN:BFN001790000BJL4,NA,NA,BFN00179000000TX;BFN00179000005BT;BFN00179000000TW,NA,0,NA,NA,NA,larvae:0 ; adult female:0 ; adult male:0 ; adult:0 ; unknown:0 ; larvae no legs:0 ; larvae with hind legs < 1cm:0 ; larvae with hind legs > 1cm:0 ; metamorph with tail:0 ; metamorph without tail:0 ; smallest larvae < 5cm no legs:0 ; lenght < 5 cm:0 ; lenght:15-20 cm:0 ; lenght:10-15 cm:0 ; lenght:5-10 cm:0 ; lenght:20-25 cm:0 ; lenght:25-30 cm:0,NA,NA,NA,NA,invasive alien A1,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN001790000390S,NA,NA,NA,2018-06-21,NA,NA,NA,NA,NA,NA,2018-06-21,NA,paired fyke nets,NA,NA,NA,NA,NA,BFN00179000007K8,NA,NA,Europe,NA,NA,NA,NA,BE,NA,NA,NA,Fuik 2,Nijlen D3 Fuik 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1337,4.5984,WGS84,30,NA,NA,"166074.00,202652.00",NA,NA,Belgium Lambert 72,Belgium Datum 1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN00179000005BT,NA,NA,NA,NA,NA,http://ias.biodiversity.be/species/show/88,NA,NA,NA,NA,NA,NA,NA,Lithobates catesbeianus,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,Amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species,NA,"(Shaw, 1802)",NA,ICZN,NA,NA,NA
1936703040,http://www.inbo.be/en/norms-for-data-use,NA,en,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,INBO,event,NA,NA,http://dataset.inbo.be/invasive-bullfrog-occurrences,INBO,NBN,"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium",INBO,HumanObservation,NA,NA,"{""projectName"":INBO - American bullfrog",INBO:NBN:BFN001790000BJL1,NA,NA,BFN00179000005BT;BFN00179000000TW;BFN00179000000TX,NA,0,NA,NA,NA,lenght:25-30 cm:0 ; lenght:20-25 cm:0 ; lenght:5-10 cm:0 ; lenght:10-15 cm:0 ; lenght:15-20 cm:0 ; lenght < 5 cm:0 ; smallest larvae < 5cm no legs:0 ; metamorph without tail:0 ; metamorph with tail:0 ; larvae with hind legs > 1cm:0 ; larvae with hind legs < 1cm:0 ; larvae no legs:0 ; unknown:0 ; adult:0 ; adult male:0 ; adult female:0 ; larvae:0,NA,NA,NA,NA,invasive alien A1,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN001790000390R,NA,NA,NA,2018-06-21,NA,NA,NA,NA,NA,NA,2018-06-21,NA,paired fyke nets,NA,NA,NA,NA,NA,BFN00179000007K8,NA,NA,Europe,NA,NA,NA,NA,BE,NA,NA,NA,Fuik 1,Nijlen D3 Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1337,4.5984,WGS84,30,NA,NA,"166074.00,202652.00",NA,NA,Belgium Lambert 72,Belgium Datum 1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFN00179000005BT,NA,NA,NA,NA,NA,http://ias.biodiversity.be/species/show/88,NA,NA,NA,NA,NA,NA,NA,Lithobates catesbeianus,NA,NA,NA,NA,NA,NA,NA,Animalia,NA,Amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species,NA,"(Shaw, 1802)",NA,ICZN,NA,NA,NA
